utc,x_teme_m,y_teme_m,z_teme_m,vx_teme_mps,vy_teme_mps,vz_teme_mps,x_ecef_m,y_ecef_m,z_ecef_m,vx_ecef_mps,vy_ecef_mps,vz_ecef_mps,lat_deg,lon_deg,alt_m
2026-03-27T00:00:00+00:00,-3669084.192485159,-2076182.2234154893,5315632.808596936,,,,3818828.495279575,1785850.0385003474,5315632.808596936,,,,51.75812080128665,25.062832237619148,419456.7547775265
2026-03-27T00:00:30+00:00,-3547411.95684763,-2271372.030750245,5318372.582609776,,,,3716979.4235089677,1981748.333888782,5318372.582609776,,,,51.79556437607003,28.064797446107974,419447.2121098405
2026-03-27T00:01:00+00:00,-3421676.9612165475,-2463960.4928157586,5315003.914130804,,,,3611744.324531356,2175839.486564329,5315003.914130804,,,,51.749918643861314,31.06621120871455,419422.6388321789
2026-03-27T00:01:30+00:00,-3292023.1695424267,-2653727.0195324,5305530.61671589,,,,3503234.8199820854,2367916.6875263085,5305530.61671589,,,,51.62148266985324,34.05566184348805,419383.11089119874
2026-03-27T00:02:00+00:00,-3158599.023662284,-2840454.2383092814,5289963.494659303,,,,3391565.353501947,2557774.916824134,5289963.494659303,,,,51.41109258344011,37.022051317607776,419328.80866839364
2026-03-27T00:02:30+00:00,-3021557.2752109678,-3023928.2410533293,5268320.331316555,,,,3276853.070260524,2745211.1631611125,5268320.331316555,,,,51.120095168784154,39.95487437733914,419260.01618054416
2026-03-27T00:03:00+00:00,-2881054.8127583214,-3203938.8274463974,5240625.869746873,,,,3159217.694318555,2930024.6422241977,5240625.869746873,,,,50.75030656671229,42.84446112182209,419177.11977794766
2026-03-27T00:03:30+00:00,-2737252.484291452,-3380279.744303419,5206911.785675546,,,,3038781.404294617,3112017.0130352676,5206911.785675546,,,,50.30395897642668,45.68217046488073,419080.6063453499
2026-03-27T00:04:00+00:00,-2590314.915294374,-3552748.920658939,5167216.652805778,,,,2915668.7072182903,3290992.5924237175,5167216.652805778,,,,49.78363885875435,48.46052711298711,418971.06101293024
2026-03-27T00:04:30+00:00,-2440410.3224962056,-3721148.6984691243,5121585.900479341,,,,2790006.3107024566,3466758.5673803356,5121585.900479341,,,,49.192220364272984,51.1733000846576,418849.16438635625
2026-03-27T00:05:00+00:00,-2287710.323524739,-3885286.058606777,5070071.763719764,,,,2661922.9935735264,3639125.205025296,5070071.763719764,,,,48.53279756555609,53.815525669843595,418715.6893070657
2026-03-27T00:05:30+00:00,-2132389.7426174274,-4044972.84194279,5012733.22568001,,,,2531549.4750395482,3807906.0600153646,5012733.22568001,,,,47.80861863556407,56.383481523648896,418571.49715596344
2026-03-27T00:06:00+00:00,-1974626.4125787928,-4200025.965266641,4949635.952528447,,,,2399018.2941616513,3972918.1721305936,4949635.952528447,,,,47.02302448643861,58.874620861915645,418417.53371552844
2026-03-27T00:06:30+00:00,-1814600.9731672336,-4350267.631811948,4880852.220809612,,,,2264463.6302632997,4133982.296457613,4880852.220809612,,,,46.17939367034681,61.28747798522042,418254.8246074291
2026-03-27T00:07:00+00:00,-1652496.666105939,-4495525.536146365,4806460.837324301,,,,2128021.236820806,4290923.05841936,4806460.837324301,,,,45.281094639164735,63.621552742708104,418084.47032448463
2026-03-27T00:07:30+00:00,-1488499.126913737,-4635633.063190591,4726547.051578547,,,,1989828.260793471,4443569.178027541,4726547.051578547,,,,44.331445830488775,65.87718647989001,417907.64087778796
2026-03-27T00:08:00+00:00,-1322796.1737595932,-4770429.481129853,4641202.460858586,,,,1850023.1170342371,4591753.653908797,4641202.460858586,,,,43.333683534102036,68.05543466435199,417725.57008159533
2026-03-27T00:08:30+00:00,-1155577.593550382,-4899760.127982696,4550524.907996361,,,,1708745.3510473913,4735313.950706819,4550524.907996361,,,,42.290937110878126,70.15794319381706,417539.54950027354
2026-03-27T00:09:00+00:00,-987034.9254666036,-5023476.591594417,4454618.371897364,,,,1566135.500866609,4874092.182480059,4454618.371897364,,,,41.20621088139292,72.18683253460284,417350.9220834207
2026-03-27T00:09:30+00:00,-817361.2421689124,-5141436.882823121,4353592.85091189,,,,1422334.9583717803,5007935.291759208,4353592.85091189,,,,40.08237185822062,74.14459246520778,417161.0755167743
2026-03-27T00:10:00+00:00,-646750.9289023008,-5253505.601690748,4247564.23913814,,,,1277485.8301269466,5136695.224057675,4247564.23913814,,,,38.92214244189731,76.03398892149937,416971.4353181822
2026-03-27T00:10:30+00:00,-475399.46073505294,-5359554.096271874,4136654.195757158,,,,1131730.7978613083,5260229.097606302,4136654.195757158,,,,37.72809721256853,77.85798343725895,416783.45770927984
2026-03-27T00:11:00+00:00,-303503.17817028624,-5459460.614100787,4020990.0075055235,,,,985212.9787127994,5378399.36808834,4020990.0075055235,,,,36.5026630057906,79.61966494147998,416598.6222948544
2026-03-27T00:11:30+00:00,-131259.0613822461,-5553110.445876685,3900704.4444069834,,,,838075.7853637701,5491073.988145362,3900704.4444069834,,,,35.24812154399018,81.32219317862541,416418.42458329536
2026-03-27T00:12:00+00:00,41135.49667226498,-5640396.0612570075,3775935.6088891835,,,,690462.7861482331,5598126.561437715,3775935.6088891835,,,,33.96661399054644,82.9687527180572,416244.3683822844
2026-03-27T00:12:30+00:00,213482.9180047082,-5721217.236531293,3646826.7784265936,,,,542517.5655362315,5699436.491000423,3646826.7784265936,,,,32.66014689151084,84.56251636511433,416077.958105281
2026-03-27T00:13:00+00:00,385585.66794263595,-5795481.173976376,3513526.241859408,,,,394383.5844500979,5794889.121765287,3513526.241859408,,,,31.330599063774912,86.1066167550606,415920.69102476817
2026-03-27T00:13:30+00:00,557246.4838013414,-5863102.612700401,3376187.129551235,,,,246204.04145213315,5884375.87690792,3376187.129551235,,,,29.979729074137396,87.60412492849554,415774.0495092403
2026-03-27T00:14:00+00:00,728268.6036040399,-5924003.930792658,3234967.237557385,,,,98121.73426723461,5967794.387904682,3234967.237557385,,,,28.6091830291228,89.05803478404988,415639.49328112043
2026-03-27T00:14:30+00:00,898455.9945661476,-5978115.238603844,3090028.845990511,,,,-49721.07794693113,6045048.618051565,3090028.845990511,,,,27.220502460044383,90.47125240162,415518.4517333573
2026-03-27T00:15:00+00:00,1067613.5810588524,-6025374.4629929615,2941538.531778709,,,,-197182.81148457524,6116048.979251561,2941538.531778709,,,,25.815132141860484,91.84658935130676,415412.31634227466
2026-03-27T00:15:30+00:00,1235547.4717605927,-6065727.422387054,2789666.976025224,,,,-344122.6939845042,6180712.441875705,2789666.976025224,,,,24.394427728790284,93.18675922245797,415322.43321457785
2026-03-27T00:16:00+00:00,1402065.1857037707,-6099127.892512275,2634588.7661884613,,,,-490400.8991845062,6238962.637511367,2634588.7661884613,,,,22.95966312544452,94.49437672152516,415250.0958056431
2026-03-27T00:16:30+00:00,1566975.8769189653,-6125537.662666834,2476482.193314894,,,,-635878.6803873109,6290729.954419019,2476482.193314894,,,,21.512037540662416,95.77195879245465,415196.5378462598
2026-03-27T00:17:00+00:00,1730090.5573803156,-6144926.582420472,2315529.0445653526,,,,-780418.483952469,6335951.627812479,2315529.0445653526,,,,20.052682193413652,97.02192713961728,415162.9265138153
2026-03-27T00:17:30+00:00,1891222.3179520508,-6157272.598638481,2151914.3912883457,,,,-923884.1537782648,6374571.811522844,2151914.3912883457,,,,18.582666657212656,98.2466127888996,415150.3558832947
2026-03-27T00:18:00+00:00,2050186.5470351626,-6162561.782743525,1985826.3729053717,,,,-1066140.9491374847,6406541.663046236,1985826.3729053717,,,,17.103004842404886,99.44825987290682,415159.8406922957
2026-03-27T00:18:30+00:00,2206801.146618385,-6160788.34814398,1817455.976878192,,,,-1207055.7452722904,6431819.400383378,1817455.976878192,,,,15.614660625220726,100.62903175366114,415192.31045274436
2026-03-27T00:19:00+00:00,2360886.74543135,-6151954.657773284,1646996.8150454024,,,,-1346497.1397724552,6450370.36057903,1646996.8150454024,,,,14.11855313952253,101.7910167792017,415248.6039406741
2026-03-27T00:19:30+00:00,2512266.908908061,-6136071.221701628,1474644.8966160244,,,,-1484335.5751789515,6462167.048262335,1474644.8966160244,,,,12.615561752020426,102.93623453288313,415329.46409350075
2026-03-27T00:20:00+00:00,2660768.3456651126,-6113156.68479815,1300598.3981232694,,,,-1620443.4592591564,6467189.175950399,1300598.3981232694,,,,11.106530745167147,104.06664229519333,415435.533342354
2026-03-27T00:20:30+00:00,2806221.110207422,-6083237.804439206,1125057.4306443923,,,,-1754695.2828124424,6465423.696031674,1125057.4306443923,,,,9.59227373410163,105.1841416338388,415567.34940484446
2026-03-27T00:21:00+00:00,2948458.801576344,-6046349.418276154,948223.8046023535,,,,-1886967.7348650387,6456864.824360172,948223.8046023535,,,,8.073577845379562,106.29058506073835,415725.3415613901
2026-03-27T00:21:30+00:00,3087318.757663355,-6002534.402093401,770300.7924678558,,,,-2017139.8151193233,6441514.055406164,770300.7924678558,,,,6.551207685928438,107.38778271302857,415909.82743563876
2026-03-27T00:22:00+00:00,3222642.244915423,-5951843.617806383,591492.8896900042,,,,-2145092.9435228463,6419380.168924768,591492.8896900042,,,,5.025909131004778,108.47750902984905,416121.01029714383
2026-03-27T00:22:30+00:00,3354274.6431693505,-5894335.851666127,412005.57418318785,,,,-2270711.0668827286,6390479.228100333,412005.57418318785,,,,3.4984129599140426,109.56150940874778,416358.97690131795
2026-03-27T00:23:00+00:00,3482065.625358212,-5830077.742755776,232045.06470445986,,,,-2393880.7620896366,6354834.569268874,232045.06470445986,,,,1.969438368142796,110.64150683122858,416623.6958793141
2026-03-27T00:23:30+00:00,3605869.33184255,-5759143.701881932,51818.07845695713,,,,-2514491.336613975,6312476.782954709,51818.07845695713,,,,0.43969638432603525,111.71920846351281,416915.01668711845
2026-03-27T00:24:00+00:00,3725544.5391294346,-5681615.820981212,-128468.41174398457,,,,-2632434.925121465,6263443.686604192,-128468.41174398457,,,,-1.0901067797635426,112.79631222718388,417232.6691204794
2026-03-27T00:24:30+00:00,3840954.822751679,-5597583.7731800405,-308607.4204036207,,,,-2747606.582883378,6207780.288789528,-308607.4204036207,,,,-2.6192664182107013,113.8745133539266,417576.2633989919
2026-03-27T00:25:00+00:00,3951968.7140923534,-5507144.70366179,-488392.19204373774,,,,-2859904.3755706297,6145538.745043175,-488392.19204373774,,,,-4.147076031108334,114.95551093059447,417945.2908197893
