utc,ground_station,visible,elevation_deg,range_km
2026-03-27T00:20:00+00:00,Seoul,0,-10.743,3806.604
2026-03-27T00:20:00+00:00,Daejeon,0,-10.305,3737.743
2026-03-27T00:20:30+00:00,Seoul,0,-11.203,3879.335
2026-03-27T00:20:30+00:00,Daejeon,0,-10.729,3804.092
2026-03-27T00:21:00+00:00,Seoul,0,-11.711,3960.459
2026-03-27T00:21:00+00:00,Daejeon,0,-11.204,3879.317
2026-03-27T00:21:30+00:00,Seoul,0,-12.262,4049.363
2026-03-27T00:21:30+00:00,Daejeon,0,-11.727,3962.811
2026-03-27T00:22:00+00:00,Seoul,0,-12.851,4145.436
2026-03-27T00:22:00+00:00,Daejeon,0,-12.291,4053.957
2026-03-27T00:22:30+00:00,Seoul,0,-13.474,4248.071
2026-03-27T00:22:30+00:00,Daejeon,0,-12.893,4152.136
2026-03-27T00:23:00+00:00,Seoul,0,-14.128,4356.677
2026-03-27T00:23:00+00:00,Daejeon,0,-13.527,4256.738
2026-03-27T00:23:30+00:00,Seoul,0,-14.808,4470.689
2026-03-27T00:23:30+00:00,Daejeon,0,-14.191,4367.174
2026-03-27T00:24:00+00:00,Seoul,0,-15.511,4589.566
2026-03-27T00:24:00+00:00,Daejeon,0,-14.880,4482.880
2026-03-27T00:24:30+00:00,Seoul,0,-16.234,4712.800
2026-03-27T00:24:30+00:00,Daejeon,0,-15.592,4603.319
2026-03-27T00:25:00+00:00,Seoul,0,-16.974,4839.912
2026-03-27T00:25:00+00:00,Daejeon,0,-16.322,4727.988
2026-03-27T00:25:30+00:00,Seoul,0,-17.730,4970.456
2026-03-27T00:25:30+00:00,Daejeon,0,-17.070,4856.414
2026-03-27T00:26:00+00:00,Seoul,0,-18.499,5104.018
2026-03-27T00:26:00+00:00,Daejeon,0,-17.832,4988.158
2026-03-27T00:26:30+00:00,Seoul,0,-19.279,5240.212
2026-03-27T00:26:30+00:00,Daejeon,0,-18.606,5122.810
2026-03-27T00:27:00+00:00,Seoul,0,-20.069,5378.682
2026-03-27T00:27:00+00:00,Daejeon,0,-19.391,5259.993
2026-03-27T00:27:30+00:00,Seoul,0,-20.867,5519.098
2026-03-27T00:27:30+00:00,Daejeon,0,-20.186,5399.356
2026-03-27T00:28:00+00:00,Seoul,0,-21.673,5661.157
2026-03-27T00:28:00+00:00,Daejeon,0,-20.988,5540.576
2026-03-27T00:28:30+00:00,Seoul,0,-22.485,5804.576
2026-03-27T00:28:30+00:00,Daejeon,0,-21.797,5683.354
2026-03-27T00:29:00+00:00,Seoul,0,-23.302,5949.094
2026-03-27T00:29:00+00:00,Daejeon,0,-22.612,5827.414
2026-03-27T00:29:30+00:00,Seoul,0,-24.123,6094.472
2026-03-27T00:29:30+00:00,Daejeon,0,-23.432,5972.502
2026-03-27T00:30:00+00:00,Seoul,0,-24.948,6240.486
2026-03-27T00:30:00+00:00,Daejeon,0,-24.256,6118.380
2026-03-27T00:30:30+00:00,Seoul,0,-25.776,6386.929
2026-03-27T00:30:30+00:00,Daejeon,0,-25.084,6264.830
2026-03-27T00:31:00+00:00,Seoul,0,-26.607,6533.609
2026-03-27T00:31:00+00:00,Daejeon,0,-25.914,6411.650
2026-03-27T00:31:30+00:00,Seoul,0,-27.440,6680.346
2026-03-27T00:31:30+00:00,Daejeon,0,-26.747,6558.652
2026-03-27T00:32:00+00:00,Seoul,0,-28.274,6826.976
2026-03-27T00:32:00+00:00,Daejeon,0,-27.582,6705.660
2026-03-27T00:32:30+00:00,Seoul,0,-29.110,6973.342
2026-03-27T00:32:30+00:00,Daejeon,0,-28.418,6852.511
2026-03-27T00:33:00+00:00,Seoul,0,-29.946,7119.298
2026-03-27T00:33:00+00:00,Daejeon,0,-29.255,6999.053
2026-03-27T00:33:30+00:00,Seoul,0,-30.783,7264.709
2026-03-27T00:33:30+00:00,Daejeon,0,-30.092,7145.144
2026-03-27T00:34:00+00:00,Seoul,0,-31.620,7409.447
2026-03-27T00:34:00+00:00,Daejeon,0,-30.930,7290.650
2026-03-27T00:34:30+00:00,Seoul,0,-32.457,7553.393
2026-03-27T00:34:30+00:00,Daejeon,0,-31.769,7435.446
2026-03-27T00:35:00+00:00,Seoul,0,-33.294,7696.432
2026-03-27T00:35:00+00:00,Daejeon,0,-32.606,7579.414
2026-03-27T00:35:30+00:00,Seoul,0,-34.130,7838.459
2026-03-27T00:35:30+00:00,Daejeon,0,-33.444,7722.443
2026-03-27T00:36:00+00:00,Seoul,0,-34.965,7979.372
2026-03-27T00:36:00+00:00,Daejeon,0,-34.280,7864.429
2026-03-27T00:36:30+00:00,Seoul,0,-35.799,8119.077
2026-03-27T00:36:30+00:00,Daejeon,0,-35.116,8005.272
2026-03-27T00:37:00+00:00,Seoul,0,-36.631,8257.482
2026-03-27T00:37:00+00:00,Daejeon,0,-35.950,8144.880
2026-03-27T00:37:30+00:00,Seoul,0,-37.462,8394.504
2026-03-27T00:37:30+00:00,Daejeon,0,-36.784,8283.163
2026-03-27T00:38:00+00:00,Seoul,0,-38.292,8530.059
2026-03-27T00:38:00+00:00,Daejeon,0,-37.615,8420.038
2026-03-27T00:38:30+00:00,Seoul,0,-39.119,8664.070
2026-03-27T00:38:30+00:00,Daejeon,0,-38.445,8555.423
2026-03-27T00:39:00+00:00,Seoul,0,-39.944,8796.465
2026-03-27T00:39:00+00:00,Daejeon,0,-39.272,8689.244
2026-03-27T00:39:30+00:00,Seoul,0,-40.767,8927.171
2026-03-27T00:39:30+00:00,Daejeon,0,-40.098,8821.427
2026-03-27T00:40:00+00:00,Seoul,0,-41.588,9056.123
2026-03-27T00:40:00+00:00,Daejeon,0,-40.921,8951.904
2026-03-27T00:40:30+00:00,Seoul,0,-42.405,9183.256
2026-03-27T00:40:30+00:00,Daejeon,0,-41.741,9080.607
2026-03-27T00:41:00+00:00,Seoul,0,-43.220,9308.508
2026-03-27T00:41:00+00:00,Daejeon,0,-42.558,9207.475
2026-03-27T00:41:30+00:00,Seoul,0,-44.031,9431.822
2026-03-27T00:41:30+00:00,Daejeon,0,-43.373,9332.446
2026-03-27T00:42:00+00:00,Seoul,0,-44.839,9553.139
2026-03-27T00:42:00+00:00,Daejeon,0,-44.184,9455.462
2026-03-27T00:42:30+00:00,Seoul,0,-45.643,9672.408
2026-03-27T00:42:30+00:00,Daejeon,0,-44.991,9576.469
2026-03-27T00:43:00+00:00,Seoul,0,-46.443,9789.575
2026-03-27T00:43:00+00:00,Daejeon,0,-45.795,9695.413
2026-03-27T00:43:30+00:00,Seoul,0,-47.239,9904.593
2026-03-27T00:43:30+00:00,Daejeon,0,-46.595,9812.244
2026-03-27T00:44:00+00:00,Seoul,0,-48.030,10017.412
2026-03-27T00:44:00+00:00,Daejeon,0,-47.391,9926.912
2026-03-27T00:44:30+00:00,Seoul,0,-48.817,10127.987
2026-03-27T00:44:30+00:00,Daejeon,0,-48.182,10039.371
2026-03-27T00:45:00+00:00,Seoul,0,-49.598,10236.276
2026-03-27T00:45:00+00:00,Daejeon,0,-48.968,10149.575
2026-03-27T00:45:30+00:00,Seoul,0,-50.374,10342.235
2026-03-27T00:45:30+00:00,Daejeon,0,-49.749,10257.483
2026-03-27T00:46:00+00:00,Seoul,0,-51.145,10445.825
2026-03-27T00:46:00+00:00,Daejeon,0,-50.524,10363.052
2026-03-27T00:46:30+00:00,Seoul,0,-51.909,10547.007
2026-03-27T00:46:30+00:00,Daejeon,0,-51.294,10466.242
2026-03-27T00:47:00+00:00,Seoul,0,-52.667,10645.744
2026-03-27T00:47:00+00:00,Daejeon,0,-52.057,10567.017
2026-03-27T00:47:30+00:00,Seoul,0,-53.417,10742.001
2026-03-27T00:47:30+00:00,Daejeon,0,-52.814,10665.339
2026-03-27T00:48:00+00:00,Seoul,0,-54.161,10835.743
2026-03-27T00:48:00+00:00,Daejeon,0,-53.564,10761.173
