utc,x_teme_m,y_teme_m,z_teme_m,vx_teme_mps,vy_teme_mps,vz_teme_mps,x_ecef_m,y_ecef_m,z_ecef_m,vx_ecef_mps,vy_ecef_mps,vz_ecef_mps,lat_deg,lon_deg,alt_m
2026-03-27T00:00:00+00:00,-594957.3948047771,-6263936.844201932,2468340.2909870944,,,,1078190.8619716242,6199063.119128908,2468340.2909870944,,,,21.543270432090942,80.13335937147542,383689.7018892113
2026-03-27T00:00:10+00:00,-541978.9682038869,-6247478.861194475,2521460.2526325714,,,,1028608.3157321758,6186008.265097436,2521460.2526325714,,,,22.030295571445137,80.55924500605744,383733.80044155754
2026-03-27T00:00:20+00:00,-488930.54654368147,-6230214.030110336,2574253.6326851863,,,,978873.9254712313,6172230.211063074,2574253.6326851863,,,,22.51595226520224,80.98833035920632,383779.33899462316
2026-03-27T00:00:30+00:00,-435818.98151928454,-6212144.5860883705,2626713.5953392005,,,,928992.9994362325,6157730.957919323,2626713.5953392005,,,,23.000197898367436,81.42070734157443,383826.26983825024
2026-03-27T00:00:40+00:00,-382651.13277803164,-6193272.868456204,2678833.3483451842,,,,878970.921728221,6142512.582919817,2678833.3483451842,,,,23.482989022953237,81.85646855515051,383874.54449532554
2026-03-27T00:00:50+00:00,-329433.86729609343,-6173601.320503636,2730606.143625,,,,828813.0978203901,6126577.24886639,2730606.143625,,,,23.964281327917814,82.29570780667416,383924.1137502473
2026-03-27T00:01:00+00:00,-276174.0576636072,-6153132.488840165,2782025.27893911,,,,778524.8989875204,6109927.210450482,2782025.27893911,,,,24.44402961842471,82.73852063620512,383974.927678762
2026-03-27T00:01:10+00:00,-222878.58309797943,-6131869.023774011,2833084.096910567,,,,728111.7718323736,6092564.799429066,2833084.096910567,,,,24.922187770009774,83.1850033014631,384026.9356756257
2026-03-27T00:01:20+00:00,-169554.32636413365,-6109813.678124739,2883775.9879980236,,,,677579.1813855324,6074492.431795587,2883775.9879980236,,,,25.39870871910275,83.63525331022822,384080.0864864262
2026-03-27T00:01:30+00:00,-116208.17383224331,-6086969.30719467,2934094.3904229286,,,,626932.5578772048,6055712.613249486,2934094.3904229286,,,,25.873544424760958,84.08936992629026,384134.3282368388
2026-03-27T00:01:40+00:00,-62847.015400673416,-6063338.868752234,2984032.790253095,,,,576177.4042422232,6036227.926735958,2984032.790253095,,,,26.346645831262475,84.54745315673671,384189.6084621884
2026-03-27T00:01:50+00:00,-9477.741822655795,-6038925.421866119,3033584.723919028,,,,525319.2400403259,6016041.038298724,3033584.723919028,,,,26.817962853297832,85.00960427376782,384245.87413995154
2026-03-27T00:02:00+00:00,43892.75468714221,-6013732.127142404,3082743.77763608,,,,474363.5492808833,5995154.701427843,3082743.77763608,,,,27.287444331541057,85.47592630774727,384303.0717192339
2026-03-27T00:02:10+00:00,97257.58244257908,-5987762.245798248,3131503.5892477864,,,,423315.9026982779,5973571.745285412,3131503.5892477864,,,,27.75503801078961,85.94652287344917,384361.1471531587
2026-03-27T00:02:20+00:00,150609.84940478927,-5961019.140085425,3179857.8474245453,,,,372181.81770192675,5951295.086766795,3179857.8474245453,,,,28.22069049247917,86.42149949407116,384420.0459284242
2026-03-27T00:02:30+00:00,203942.66667503578,-5933506.271569697,3227800.2948467047,,,,320966.8782856375,5928327.719440874,3227800.2948467047,,,,28.684347225102787,86.90096243739953,384479.7130998513
2026-03-27T00:02:40+00:00,257249.1473387841,-5905227.201667374,3275324.7271417333,,,,269676.68372439896,5904672.718565715,3275324.7271417333,,,,29.1459524536077,87.38501918437072,384540.09332002606
2026-03-27T00:02:50+00:00,310522.40831596043,-5876185.59068842,3322424.9945510626,,,,218316.7949058418,5880333.242201721,3322424.9945510626,,,,29.605449194772472,87.8737789265324,384601.1308725206
2026-03-27T00:03:00+00:00,363755.57070775947,-5846385.197635135,3369095.0022345628,,,,166892.83859422037,5855312.52579861,3369095.0022345628,,,,30.062779199230853,88.36735152713084,384662.7697034804
2026-03-27T00:03:10+00:00,416941.76096174016,-5815829.879558988,3415328.711301805,,,,115410.454275377,5829613.884902579,3415328.711301805,,,,30.517882920394168,88.86584799822339,384724.9534544004
2026-03-27T00:03:20+00:00,470074.11217082763,-5784523.590801126,3461120.139937712,,,,63875.24173028044,5803240.715062735,3461120.139937712,,,,30.970699484287195,89.36938097821775,384787.6254951414
2026-03-27T00:03:30+00:00,523145.76428057684,-5752470.382849116,3506463.363577402,,,,12292.86413283403,5776196.48919013,3506463.363577402,,,,31.42116664998993,89.87806367548109,384850.728955823
2026-03-27T00:03:40+00:00,576149.8651144536,-5719674.403730609,3551352.515790984,,,,-39331.00434564822,5748484.758948194,3551352.515790984,,,,31.86922077706659,90.39201032696121,384914.2067597313
2026-03-27T00:03:50+00:00,629079.5713962421,-5686139.897381686,3595781.789156035,,,,-90990.72999231289,5720109.153399029,3595781.789156035,,,,32.31479679302967,90.91133665499228,384978.0016563451
2026-03-27T00:04:00+00:00,681928.0501759847,-5651871.202726518,3639745.4364491957,,,,-142680.61892640288,5691073.378441795,3639745.4364491957,,,,32.75782816427403,91.4361588016539,385042.05625492055
2026-03-27T00:04:10+00:00,734688.4783579516,-5616872.753967615,3683237.7702502515,,,,-194394.96771460382,5661381.217602547,3683237.7702502515,,,,33.19824685133719,91.96659375531897,385106.31305577606
2026-03-27T00:04:20+00:00,787354.0448013034,-5581149.07921967,3726253.164692756,,,,-246128.1147220232,5631036.528693711,3726253.164692756,,,,33.63598328613381,92.50275979200086,385170.7144847959
2026-03-27T00:04:30+00:00,839917.9511956725,-5544704.799880373,3768786.056164022,,,,-297874.34067175374,5600043.246237171,3768786.056164022,,,,34.07096633925151,93.044775382588,385235.202926415
2026-03-27T00:04:40+00:00,892373.4119939347,-5507544.630661739,3810830.943248015,,,,-349627.9189097421,5568405.380670798,3810830.943248015,,,,34.50312328009585,93.5927595976201,385299.72075543646
2026-03-27T00:04:50+00:00,944713.6555599548,-5469673.378805316,3852382.387664662,,,,-401383.16492520086,5536127.014143339,3852382.387664662,,,,34.932379747904605,94.14683251152712,385364.21037035715
2026-03-27T00:05:00+00:00,996931.9261129645,-5431095.942666025,3893435.015811601,,,,-453134.33967933117,5503212.305004236,3893435.015811601,,,,35.35865973004141,94.70711409335183,385428.6142275827
2026-03-27T00:05:10+00:00,1049021.4832550588,-5391817.312024678,3933983.518378515,,,,-504875.6986566197,5469665.485885371,3933983.518378515,,,,35.78188552148882,95.2737245765482,385492.8748726463
2026-03-27T00:05:20+00:00,1100975.6036422488,-5351842.5668444885,3974022.651660441,,,,-556601.5410754684,5435490.85774012,3974022.651660441,,,,36.20197770313802,95.8467848377399,385556.93497399986
